2023-12-09 23:22:12,785 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:22:13,070 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:22:13,070 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:22:59,257 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:22:59,332 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:22:59,332 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:23:37,507 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:23:37,669 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:23:37,669 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:23:51,836 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:23:51,941 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:23:51,941 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:24:03,851 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:24:03,939 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:24:03,939 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:24:10,810 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:24:11,045 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:24:11,045 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:27:21,040 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:27:21,137 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:27:21,137 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:28:12,109 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:28:12,158 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:28:12,158 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:28:17,987 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:28:18,019 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:28:18,019 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
